iter	Passed	Remaining
0	50	50350
1	50	25447
2	51	17139
3	52	12984
4	52	10493
5	53	8826
6	53	7637
7	54	6743
8	54	6049
9	55	5499
10	56	5041
11	56	4666
12	57	4351
13	57	4073
14	58	3830
15	58	3617
16	59	3431
17	59	3268
18	60	3120
19	60	2984
20	61	2862
21	61	2751
22	62	2648
23	62	2560
24	63	2479
25	64	2399
26	64	2326
27	65	2256
28	65	2202
29	66	2143
30	66	2085
31	67	2034
32	67	1983
33	68	1935
34	68	1889
35	68	1847
36	69	1804
37	69	1767
38	70	1729
39	70	1694
40	70	1660
41	71	1628
42	71	1600
43	72	1570
44	72	1543
45	73	1516
46	73	1492
47	74	1467
48	74	1443
49	74	1422
50	75	1399
51	75	1379
52	76	1358
53	76	1338
54	76	1318
55	77	1300
56	77	1281
57	77	1262
58	78	1245
59	78	1228
60	78	1211
61	79	1195
62	79	1179
63	79	1164
64	80	1151
65	80	1137
66	80	1123
67	80	1107
68	81	1096
69	81	1083
70	81	1071
71	82	1059
72	82	1048
73	82	1036
74	83	1025
75	83	1014
76	83	1004
77	84	994
78	84	985
79	84	975
80	85	966
81	85	957
82	85	947
83	86	938
84	86	928
85	86	920
86	86	910
87	87	904
88	87	896
89	87	889
90	88	881
91	88	873
92	88	866
93	89	859
94	89	852
95	89	847
96	90	840
97	90	833
98	90	827
99	91	820
100	91	814
101	91	807
102	92	801
103	92	796
104	92	790
105	93	785
106	93	780
107	93	775
108	94	769
109	94	764
110	94	759
111	95	754
112	95	750
113	95	745
114	96	740
115	96	735
116	96	731
117	97	726
118	97	721
119	97	717
120	98	712
121	98	708
122	98	704
123	99	700
124	99	696
125	99	692
126	100	688
127	100	684
128	100	680
129	101	676
130	101	673
131	101	670
132	102	666
133	102	662
134	102	658
135	103	655
136	103	652
137	103	648
138	104	645
139	104	642
140	104	639
141	105	635
142	105	632
143	105	629
144	106	626
145	106	623
146	106	620
147	107	617
148	107	615
149	108	612
150	108	610
151	108	607
152	109	604
153	109	601
154	109	599
155	110	596
156	110	593
157	110	591
158	111	588
159	111	585
160	112	583
161	112	581
162	112	578
163	113	577
164	113	574
165	113	572
166	114	570
167	114	567
168	115	565
169	115	563
170	115	561
171	116	559
172	116	557
173	116	554
174	117	552
175	117	550
176	118	548
177	118	546
178	118	544
179	119	542
180	119	539
181	119	537
182	119	535
183	120	533
184	120	531
185	121	530
186	121	528
187	121	526
188	122	524
189	122	522
190	122	520
191	123	518
192	123	516
193	123	514
194	124	513
195	124	511
196	125	510
197	125	508
198	125	506
199	126	504
200	126	503
201	126	501
202	127	499
203	127	498
204	127	496
205	128	495
206	128	493
207	129	491
208	129	489
209	129	488
210	130	487
211	130	486
212	131	484
213	131	483
214	132	483
215	132	482
216	133	481
217	133	479
218	134	478
219	134	476
220	134	475
221	135	474
222	135	473
223	136	472
224	136	470
225	137	469
226	137	468
227	138	467
228	138	466
229	139	465
230	139	464
231	139	463
232	140	461
233	140	460
234	141	459
235	141	458
236	142	457
237	142	455
238	142	454
239	143	453
240	143	451
241	144	451
242	144	450
243	145	449
244	145	449
245	146	448
246	146	447
247	147	447
248	148	447
249	148	446
250	149	445
251	150	445
252	150	445
253	151	445
254	152	444
255	152	443
256	152	442
257	153	440
258	153	439
259	153	438
260	155	438
261	155	437
262	155	436
263	156	435
264	156	433
265	156	432
266	157	431
267	157	430
268	157	428
269	158	427
270	158	426
271	158	424
272	159	423
273	159	422
274	159	421
275	160	419
276	160	418
277	160	417
278	161	416
279	161	414
280	161	413
281	162	412
282	162	411
283	162	410
284	162	408
285	163	407
286	163	406
287	163	405
288	164	404
289	164	402
290	164	401
291	165	400
292	165	399
293	165	398
294	166	397
295	166	396
296	166	394
297	167	393
298	167	392
299	167	391
