iter	Passed	Remaining
0	49	49617
1	50	25269
2	51	17072
3	52	12958
4	52	10479
5	53	8817
6	53	7634
7	54	6725
8	54	6012
9	55	5452
10	55	4993
11	55	4603
12	56	4274
13	56	3994
14	57	3755
15	57	3542
16	57	3349
17	58	3185
18	58	3032
19	59	2899
20	59	2775
21	59	2663
22	60	2562
23	60	2469
24	61	2383
25	61	2304
26	61	2229
27	62	2162
28	62	2098
29	63	2040
30	63	1986
31	63	1934
32	64	1885
33	64	1842
34	65	1800
35	65	1758
36	66	1721
37	66	1685
38	67	1651
39	67	1619
40	67	1589
41	68	1572
42	69	1550
43	71	1552
44	71	1523
45	72	1496
46	72	1470
47	72	1444
48	73	1420
49	74	1411
50	74	1389
51	75	1368
52	75	1347
53	75	1328
54	76	1311
55	76	1293
56	77	1274
57	77	1257
58	77	1240
59	78	1224
60	78	1208
61	78	1192
62	79	1176
63	79	1161
64	79	1147
65	80	1133
66	80	1120
67	80	1107
68	81	1094
69	81	1081
70	81	1069
71	82	1058
72	82	1046
73	82	1034
74	83	1023
75	83	1012
76	83	1002
77	83	992
78	84	983
79	84	974
80	85	972
81	86	963
82	86	952
83	87	950
84	87	942
85	87	934
86	88	926
87	88	918
88	88	910
89	89	902
90	89	896
91	90	890
92	90	883
93	90	876
94	91	869
95	92	870
96	92	863
97	93	856
98	93	849
99	93	844
100	94	838
101	94	832
102	94	826
103	95	820
104	95	814
105	96	810
106	96	804
107	96	798
108	97	793
109	97	788
110	97	783
111	98	777
112	98	772
113	98	767
114	99	762
115	99	757
116	99	752
117	99	747
118	100	742
119	100	737
120	100	733
121	101	728
122	101	723
123	101	719
124	102	715
125	102	711
126	102	706
127	103	702
128	103	698
129	103	694
130	104	690
131	104	686
132	104	683
133	105	679
134	105	675
135	105	671
136	106	668
137	106	664
138	106	661
139	107	657
140	107	654
141	107	650
142	107	646
143	108	643
144	108	640
145	109	638
146	109	634
147	109	631
148	110	628
149	111	631
150	111	628
151	112	625
152	112	622
153	112	620
154	113	617
155	113	614
156	113	611
157	114	608
158	114	605
159	114	602
160	115	599
161	115	596
162	115	594
163	116	591
164	116	588
165	116	586
166	116	583
167	117	580
168	117	578
169	117	575
170	118	573
171	118	570
172	118	568
173	119	566
174	119	563
175	119	561
176	120	559
177	120	556
178	120	554
179	121	552
180	121	550
181	121	547
182	122	545
183	122	543
184	122	541
185	123	539
186	123	536
187	123	534
188	124	532
189	124	530
190	124	528
191	125	526
192	125	524
193	125	522
194	126	520
195	126	519
196	126	517
197	127	515
198	127	513
199	127	511
200	128	509
201	128	507
202	128	506
203	129	504
204	129	502
205	129	500
206	130	498
207	130	497
208	130	495
209	131	493
210	131	491
211	131	490
212	132	488
213	132	486
214	132	485
215	133	483
216	133	481
217	133	480
218	134	478
219	134	476
220	134	475
221	135	473
222	135	471
223	135	470
224	136	468
225	136	467
226	136	465
227	137	464
228	137	462
229	137	461
230	138	459
231	138	458
232	138	456
233	139	455
234	139	453
235	139	452
236	140	450
237	140	449
238	140	447
239	140	446
240	141	445
241	141	443
242	141	442
243	142	440
244	142	439
245	142	438
246	143	436
247	143	435
248	143	434
249	144	432
250	144	431
251	144	430
252	145	428
253	145	427
254	145	426
255	146	425
256	146	423
257	146	422
258	147	421
259	147	420
260	147	419
261	148	417
262	148	416
263	148	415
264	149	414
265	149	412
266	149	411
267	150	410
268	150	409
269	150	407
270	151	406
271	151	405
272	151	404
273	152	403
274	152	402
275	152	401
276	153	400
277	153	398
278	153	397
279	154	396
280	154	395
281	154	394
282	155	393
283	155	392
284	155	391
285	156	390
286	156	388
287	156	387
288	157	386
289	157	385
290	157	384
291	158	383
292	158	382
293	158	381
294	159	380
295	159	379
296	160	378
297	160	377
298	160	376
299	161	375
300	161	374
301	161	373
302	162	372
303	162	371
304	162	370
305	163	369
306	163	368
307	163	367
308	164	366
309	164	365
310	164	364
311	164	363
312	165	362
313	165	361
314	166	361
315	166	360
316	166	359
317	167	358
318	167	357
319	167	356
320	167	355
321	168	354
322	168	353
323	168	352
324	169	351
325	169	350
326	169	349
327	170	348
328	170	348
329	170	347
330	171	346
331	171	345
332	171	344
333	172	343
334	172	342
335	172	341
336	173	340
337	173	339
338	173	339
339	174	338
340	174	337
341	174	336
342	175	335
343	175	334
344	175	333
345	176	333
346	176	332
347	176	331
348	177	330
349	177	329
350	177	328
351	178	327
352	178	327
353	178	326
354	179	325
355	179	324
356	179	323
357	180	322
358	180	322
359	180	321
360	181	320
361	181	319
362	181	318
363	182	318
364	182	317
365	182	316
366	183	315
367	183	315
368	183	314
369	184	313
370	184	312
371	184	312
372	185	311
373	185	310
374	185	309
375	186	309
376	186	308
377	186	307
378	187	306
379	187	305
380	187	305
381	188	304
382	188	303
383	188	302
384	189	302
385	189	301
386	189	300
387	190	299
388	190	299
389	190	298
390	191	297
391	191	296
392	191	296
393	192	295
394	192	294
395	192	294
396	193	293
397	193	292
398	193	291
399	194	291
400	194	290
401	194	289
402	195	288
403	195	288
404	195	287
405	196	286
406	196	286
407	196	285
408	196	284
409	197	283
410	197	283
411	197	282
412	198	281
413	198	281
414	198	280
415	199	279
416	199	278
417	199	278
418	200	277
419	200	276
420	200	276
421	201	275
422	201	275
423	201	274
424	202	273
425	202	272
426	202	272
427	203	271
428	203	270
429	203	270
430	204	269
431	204	269
432	204	268
433	205	267
434	205	267
435	205	266
436	206	265
437	206	265
438	206	264
439	207	263
440	207	263
441	207	262
442	208	261
443	208	261
444	208	260
445	209	259
446	209	259
447	209	258
448	210	258
449	210	257
450	210	256
451	211	256
452	211	255
453	211	254
454	212	254
455	212	253
456	212	252
457	213	252
458	213	251
459	213	251
460	214	250
461	214	249
462	214	249
463	215	248
464	215	248
465	215	247
466	216	246
467	216	246
468	216	245
469	217	244
470	217	244
471	217	243
472	218	243
473	218	242
474	218	241
475	219	241
476	219	240
477	219	240
478	220	239
479	220	238
480	220	238
481	221	237
482	221	237
483	221	236
484	222	235
485	222	235
486	222	234
487	223	234
488	223	233
489	223	232
490	224	232
491	224	231
492	224	231
493	225	230
494	225	230
495	225	229
496	226	228
497	226	228
498	226	227
499	227	227
500	227	226
501	227	226
502	228	225
503	228	224
504	229	224
505	229	224
506	230	223
507	230	223
508	230	222
509	231	222
510	231	221
511	231	221
512	232	220
513	232	219
514	232	219
515	233	218
516	233	218
517	233	217
518	234	217
519	234	216
520	234	215
521	235	215
522	235	214
523	235	214
524	236	213
525	236	213
526	236	212
527	237	211
528	237	211
529	237	210
530	238	210
531	238	209
532	238	209
533	239	208
534	239	208
535	239	207
536	240	207
537	240	206
538	240	205
539	241	205
540	241	204
541	241	204
542	242	203
543	242	203
544	242	202
545	243	202
546	243	201
547	243	201
548	244	200
549	244	200
550	244	199
551	245	199
552	245	198
553	245	198
554	246	197
555	246	196
556	246	196
557	247	195
558	247	195
559	247	194
560	248	194
561	248	193
562	249	193
563	249	192
564	249	192
565	250	191
566	250	191
567	250	190
568	251	190
569	251	189
570	251	189
571	251	188
572	252	188
573	252	187
574	252	186
575	253	186
576	253	185
577	253	185
578	254	184
579	254	184
580	255	183
581	255	183
582	255	182
583	256	182
584	256	181
585	256	181
586	257	180
587	257	180
588	257	179
589	258	179
590	258	178
591	258	178
592	259	177
593	259	177
594	259	176
595	260	176
596	260	175
597	260	175
598	261	174
599	261	174
600	261	173
601	262	173
602	262	172
603	262	172
604	263	171
605	263	171
606	263	170
607	264	170
608	264	169
609	264	169
610	265	168
611	265	168
612	265	167
613	266	167
614	266	166
615	266	166
616	267	165
617	267	165
618	267	164
619	268	164
620	268	163
621	268	163
622	269	162
623	269	162
624	269	161
625	270	161
626	270	160
627	270	160
628	271	160
629	271	159
630	272	159
631	272	158
632	272	158
633	272	157
634	273	157
635	273	156
636	273	156
637	274	155
638	274	155
639	274	154
640	275	154
641	275	153
642	275	153
643	276	152
644	276	152
645	276	151
646	277	151
647	277	150
648	277	150
649	278	149
650	278	149
651	278	148
652	279	148
653	279	147
654	279	147
655	280	146
656	280	146
657	280	146
658	281	145
659	281	145
660	281	144
661	282	144
662	282	143
663	282	143
664	283	142
665	283	142
666	283	141
667	284	141
668	284	140
669	284	140
670	285	139
671	285	139
672	285	138
673	286	138
674	286	137
675	286	137
676	287	137
677	287	136
678	287	136
679	288	135
680	288	135
681	288	134
682	289	134
683	289	133
684	289	133
685	290	132
686	290	132
687	290	131
688	291	131
689	291	130
690	291	130
691	292	130
692	292	129
693	292	129
694	293	128
695	293	128
696	293	127
697	294	127
698	294	126
699	294	126
700	295	125
701	295	125
702	295	125
703	296	124
704	296	124
705	296	123
706	297	123
707	297	122
708	297	122
709	298	121
710	298	121
711	299	120
712	299	120
713	299	120
714	300	119
715	300	119
716	300	118
717	301	118
718	301	117
719	301	117
720	302	116
721	303	116
722	303	116
723	303	115
724	304	115
725	304	114
726	305	114
727	305	114
728	305	113
729	305	113
730	306	112
731	306	112
732	306	111
733	307	111
734	307	110
735	307	110
736	308	109
737	308	109
738	308	109
739	309	108
740	309	108
741	309	107
742	310	107
743	310	106
744	310	106
745	311	105
746	311	105
747	311	105
748	312	104
749	312	104
750	312	103
751	313	103
752	313	102
753	313	102
754	314	101
755	314	101
756	314	101
757	315	100
758	315	100
759	315	99
760	316	99
761	316	98
762	316	98
763	317	98
764	317	97
765	317	97
766	318	96
767	318	96
768	319	95
769	319	95
770	319	95
771	320	94
772	320	94
773	320	93
774	321	93
775	321	92
776	321	92
777	322	91
778	322	91
779	322	91
780	323	90
781	323	90
782	323	89
783	324	89
784	324	88
785	324	88
786	325	88
787	325	87
788	325	87
789	326	86
790	326	86
791	326	85
792	327	85
793	327	84
794	327	84
795	328	84
796	328	83
797	328	83
798	329	82
799	329	82
800	329	81
801	330	81
802	330	81
803	330	80
804	331	80
805	331	79
806	331	79
807	332	78
808	332	78
809	332	78
810	333	77
811	333	77
812	333	76
813	334	76
814	334	75
815	334	75
816	335	75
817	335	74
818	335	74
819	336	73
820	336	73
821	336	72
822	337	72
823	337	72
824	337	71
825	338	71
826	338	70
827	338	70
828	339	69
829	339	69
830	339	69
831	340	68
832	340	68
833	340	67
834	341	67
835	341	67
836	341	66
837	342	66
838	342	65
839	342	65
840	343	64
841	343	64
842	344	64
843	344	63
844	344	63
845	345	62
846	345	62
847	345	61
848	346	61
849	346	61
850	346	60
851	347	60
852	347	59
853	347	59
854	348	59
855	348	58
856	348	58
857	349	57
858	349	57
859	349	56
860	350	56
861	350	56
862	350	55
863	351	55
864	351	54
865	352	54
866	352	54
867	353	53
868	353	53
869	354	52
870	354	52
871	355	52
872	355	51
873	356	51
874	356	50
875	357	50
876	358	50
877	358	49
878	358	49
879	359	48
880	359	48
881	359	48
882	361	47
883	361	47
884	361	47
885	362	46
886	362	46
887	362	45
888	363	45
889	363	44
890	363	44
891	364	44
892	364	43
893	364	43
894	365	42
895	365	42
896	365	42
897	366	41
898	366	41
899	366	40
900	367	40
901	367	39
902	367	39
903	368	39
904	368	38
905	369	38
906	369	37
907	369	37
908	370	37
909	370	36
910	370	36
911	371	35
912	371	35
913	371	34
914	372	34
915	372	34
916	372	33
917	373	33
918	373	32
919	373	32
920	374	32
921	374	31
922	374	31
923	375	30
924	375	30
925	375	30
926	376	29
927	376	29
928	376	28
929	376	28
930	377	27
931	377	27
932	377	27
933	378	26
934	378	26
935	378	25
936	379	25
937	379	25
938	379	24
939	380	24
940	380	23
941	380	23
942	381	23
943	381	22
944	382	22
945	382	21
946	382	21
947	382	21
948	383	20
949	383	20
950	384	19
951	384	19
952	384	18
953	385	18
954	385	18
955	385	17
956	386	17
957	386	16
958	386	16
959	387	16
960	387	15
961	387	15
962	388	14
963	388	14
964	388	14
965	389	13
966	389	13
967	389	12
968	390	12
969	390	12
970	390	11
971	391	11
972	391	10
973	392	10
974	392	10
975	392	9
976	393	9
977	393	8
978	393	8
979	394	8
980	394	7
981	394	7
982	395	6
983	395	6
984	395	6
985	396	5
986	396	5
987	396	4
988	397	4
989	397	4
990	397	3
991	398	3
992	398	2
993	398	2
994	399	2
995	399	1
996	399	1
997	400	0
998	400	0
999	400	0
